,Hotel_name,Positive_summary,Negative_summary
0,Hotel Arena,"[('staff room', 7), ('helpful friendly', 7), ('comfy bed', 6), ('friendly staff', 6), ('great hotel', 5)]","[('small room', 3), ('little bit', 2), ('glass darken', 2), ('building work', 2), ('staircase steep', 2)]"
1,K K Hotel George,"[('earl court', 36), ('good location', 17), ('location staff', 17), ('good breakfast', 13), ('great location', 10)]","[('small room', 22), ('bathroom small', 9), ('bit small', 3), ('little small', 2), ('bit bathroom', 2)]"
2,Apex Temple Court Hotel,"[('great location', 31), ('comfortable clean', 24), ('location staff', 23), ('helpful friendly', 21), ('location room', 17)]","[('expensive breakfast', 14), ('anything think', 7), ('expensive bit', 7), ('bit breakfast', 6), ('price bar', 4)]"
3,The Park Grand London Paddington,"[('good location', 60), ('friendly staff', 58), ('location staff', 55), ('helpful friendly', 39), ('helpful staff', 32)]","[('small room', 66), ('bathroom small', 18), ('small bed', 12), ('size room', 11), ('bed room', 9)]"
4,Monhotel Lounge SPA,"[('location staff', 3), ('arc de', 2), ('helpful friendly', 2), ('friendly staff', 2), ('bed good', 2)]","[('small room', 2), ('expensive breakfast', 2), ('cvv credit', 1), ('credit card', 1), ('card delete', 1)]"
5,Kube Hotel Ice Bar,"[('comfortable bed', 2), ('brilliant extremely', 1), ('extremely spacious', 1), ('spacious modern', 1), ('modern shower', 1)]","[('kube situated', 1), ('situated timber', 1), ('timber advert', 1), ('advert dropping', 1), ('brave novelty', 1)]"
6,The Principal London,"[('location staff', 56), ('great location', 45), ('good location', 36), ('friendly staff', 34), ('helpful friendly', 33)]","[('small room', 21), ('bathroom small', 9), ('bathroom room', 5), ('outside noise', 5), ('noisy air', 5)]"
7,Park Plaza County Hall London,"[('location staff', 79), ('great location', 67), ('good location', 65), ('friendly staff', 48), ('helpful friendly', 46)]","[('sofa uncomfortable', 11), ('small room', 10), ('view room', 9), ('little room', 7), ('uncomfortable bed', 7)]"
8,One Aldwych,"[('great location', 9), ('location staff', 4), ('friendly staff', 4), ('helpful friendly', 4), ('area bar', 2)]","[('small room', 5), ('tea coffee', 4), ('coffee facility', 4), ('facility room', 3), ('pool around', 2)]"
9,Splendid Etoile,"[('location staff', 9), ('triomphe arc', 6), ('great location', 6), ('good location', 5), ('hotel location', 5)]","[('bit small', 2), ('water sunday', 1), ('sunday website', 1), ('website informed', 1), ('informed closed', 1)]"
10,Hotel Trianon Rive Gauche,"[('great location', 10), ('good location', 7), ('notre dame', 7), ('location staff', 7), ('eiffel tower', 5)]","[('small room', 11), ('bathroom small', 5), ('bit small', 3), ('little small', 3), ('everything great', 2)]"
11,InterContinental London Park Lane,"[('location staff', 9), ('good location', 6), ('breakfast location', 3), ('great breakfast', 3), ('service location', 3)]","[('small room', 6), ('size room', 4), ('value money', 2), ('service room', 2), ('leak curtain', 1)]"
12,Novotel Suites Paris Nord 18 me,"[('nice clean', 6), ('clean room', 6), ('good room', 5), ('staff room', 4), ('spacious clean', 3)]","[('hotel location', 5), ('around hotel', 3), ('parking expensive', 3), ('tent refugee', 2), ('area hotel', 2)]"
13,Grand Royale London Hyde Park,"[('location staff', 102), ('great location', 83), ('friendly staff', 81), ('good location', 78), ('helpful friendly', 59)]","[('small room', 275), ('bathroom small', 39), ('bit small', 34), ('size room', 25), ('little small', 23)]"
14,Milestone Hotel Kensington,"[('attention detail', 4), ('service excellent', 2), ('great location', 2), ('helpful staff', 2), ('excellent hotel', 2)]","[('twice sliver', 1), ('sliver unpacking', 1), ('unpacking storing', 1), ('storing disappeared', 1), ('fall travelling', 1)]"
15,Crowne Plaza London Kings Cross,"[('comfortable clean', 29), ('clean room', 24), ('good breakfast', 22), ('friendly staff', 19), ('comfortable bed', 19)]","[('cross king', 21), ('alarm fire', 10), ('car park', 4), ('underground far', 4), ('slow lift', 4)]"
16,Select Hotel,"[('location staff', 10), ('great location', 9), ('notre dame', 6), ('hotel location', 6), ('nice clean', 6)]","[('small room', 3), ('floor room', 2), ('would nice', 2), ('coffee could', 2), ('could breakfast', 2)]"
17,H tel De Vend me,"[('location staff', 11), ('great location', 8), ('good location', 4), ('helpful great', 3), ('friendly great', 3)]","[('small room', 2), ('morning manger', 1), ('manger july', 1), ('july cooperative', 1), ('cooperative shift', 1)]"
