,hotel,positive,negative
0,Hotel Arena,"['good staff', 'staff helpful', 'design hotel', 'lay design', 'loved lay']","['mattress awful', 'room service', 'everything stay', 'service thumb', 'nearly everything']"
1,K K Hotel George,"['friendly helpful', 'staff friendly', 'friendly staff', 'helpful staff', 'tube station']","['executive room', 'small room', 'work well', 'small bathroom', 'triple room']"
2,Apex Temple Court Hotel,Not enough data,Not enough data
3,The Park Grand London Paddington,"['friendly staff', 'clean comfortable', 'staff friendly', 'staff helpful', 'location good']","['tiny room', 'wet room', 'room small', 'room service', 'small room']"
4,Monhotel Lounge SPA,"['friendly welcoming', 'staff friendly', 'welcoming helpful', 'question like', 'pay euro']","['absolute joke', 'parking requested', 'passage way', 'people talking', 'price booking']"
5,Kube Hotel Ice Bar,Not enough data,Not enough data
6,The Principal London,"['friendly staff', 'great location', 'tube station', 'staff helpful', 'location excellent']","['room small', 'front desk', 'star hotel', 'bed small', 'bar closed']"
7,Park Plaza County Hall London,"['friendly staff', 'staff helpful', 'great location', 'london eye', 'bottle wine']","['sofa bed', 'extra bed', 'bed uncomfortable', 'room hot', 'expensive room']"
8,One Aldwych,Not enough data,Not enough data
9,Splendid Etoile,Not enough data,Not enough data
10,Hotel Trianon Rive Gauche,"['service staff', 'great service', 'staff helpfull', 'helpful understanding', 'amazing stuff']","['bed comfort', 'noise top', 'wi fi', 'bad wi', 'much noise']"
11,InterContinental London Park Lane,"['everything amazing', 'great staff', 'friendly great', 'great cocktail', 'everything else']","['room size', 'size attentiveness', 'room cleaning', 'cleaning room', 'service room']"
12,Novotel Suites Paris Nord 18 me,"['modern spacious', 'good breakfast', 'family holiday', 'clean big', 'big room']","['bring family', 'got robbed', 'outside sketchy', 'sketchy part', 'part paris']"
13,Grand Royale London Hyde Park,"['friendly staff', 'great location', 'friendly helpful', 'helpful staff', 'hyde park']","['room small', 'small room', 'room tiny', 'noisy room', 'sister hotel']"
14,Milestone Hotel Kensington,Not enough data,Not enough data
15,Crowne Plaza London Kings Cross,"['comfortable bed', 'bed comfortable', 'room great', 'en suite', 'room perfect']","['hotel need', 'tv remote', 'gave information', 'horrible experience', 'park closed']"
16,Select Hotel,Not enough data,Not enough data
17,H tel De Vend me,Not enough data,Not enough data
18,Pullman Paris Centre Bercy,Not enough data,Not enough data
19,Gardette Park Hotel,"['star min', 'park close', 'walk metro', 'nice neighbourghood', 'metro beautiful']","['small room', 'room small', 'small three', 'air conditioning', 'work well']"
20,Hotel Panache,"['everything perfect', 'interior design', 'design great', 'great location', 'hotel nice']","['staff untrained', 'untrained poor', 'issue move', 'poor service', 'overly cool']"
